#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      6.29e+00      9.97e-01      1.97e-01    1.0e-03
    100      1.66e+01      3.06e-01      5.53e-01    9.0e-04
    200      1.32e+01      3.48e-01      4.60e-01    8.1e-04
    300      1.93e+01      1.64e+00      6.89e-01    7.4e-04
    400      7.95e+00      5.71e-01      2.91e-01    6.6e-04
    500      5.91e+00      2.35e-01      2.39e-01    6.0e-04
    600      5.57e+00      4.77e-01      2.12e-01    5.4e-04
    700      1.75e+00      7.77e-02      7.67e-02    4.9e-04
    800      4.85e+00      8.16e-02      2.31e-01    4.4e-04
    900      2.05e+00      8.63e-02      1.01e-01    4.0e-04
   1000      3.42e-01      1.54e-02      1.77e-02    3.6e-04
   1100      4.12e+00      4.76e-02      2.28e-01    3.2e-04
   1200      8.92e-01      3.41e-02      5.12e-02    2.9e-04
   1300      1.43e+00      7.41e-02      8.21e-02    2.6e-04
   1400      2.06e+00      3.20e-02      1.33e-01    2.4e-04
   1500      1.71e+00      1.65e-01      1.02e-01    2.1e-04
   1600      7.91e-01      2.84e-02      5.57e-02    1.9e-04
   1700      1.97e+00      1.79e-02      1.48e-01    1.7e-04
   1800      6.46e-01      1.50e-02      5.06e-02    1.6e-04
   1900      1.12e+00      2.02e-02      9.30e-02    1.4e-04
   2000      8.25e-01      5.96e-03      7.24e-02    1.3e-04
   2100      1.05e+00      8.77e-03      9.72e-02    1.2e-04
   2200      2.13e+00      4.55e-02      2.06e-01    1.0e-04
   2300      2.41e+00      3.23e-03      2.46e-01    9.4e-05
   2400      3.73e-01      2.77e-03      4.01e-02    8.5e-05
   2500      1.77e-01      1.32e-02      1.65e-02    7.7e-05
   2600      1.09e+00      3.49e-03      1.30e-01    6.9e-05
   2700      2.58e-01      4.38e-03      3.20e-02    6.3e-05
   2800      4.60e-01      5.87e-03      6.04e-02    5.7e-05
   2900      2.34e-02      5.57e-04      3.19e-03    5.1e-05
   3000      1.85e-01      8.12e-03      2.62e-02    4.6e-05
   3100      2.60e-01      2.24e-03      3.98e-02    4.2e-05
   3200      4.37e-01      2.16e-02      6.48e-02    3.8e-05
   3300      1.23e+00      1.40e-02      2.08e-01    3.4e-05
   3400      2.81e-01      5.30e-04      5.00e-02    3.1e-05
   3500      5.82e-01      2.07e-02      1.07e-01    2.8e-05
   3600      9.82e-01      6.60e-02      1.82e-01    2.5e-05
   3700      2.13e+00      6.97e-03      4.40e-01    2.2e-05
   3800      3.14e-01      2.16e-02      6.28e-02    2.0e-05
   3900      4.46e-01      2.14e-02      9.39e-02    1.8e-05
   4000      2.88e-01      3.60e-03      6.85e-02    1.7e-05
   4100      1.82e+00      1.31e-02      4.55e-01    1.5e-05
   4200      3.04e-01      9.96e-03      7.86e-02    1.3e-05
   4300      4.87e-01      2.22e-02      1.30e-01    1.2e-05
   4400      3.80e-01      2.41e-02      1.03e-01    1.1e-05
   4500      6.25e-02      7.68e-03      3.89e-03    9.9e-06
   4600      4.03e-01      1.56e-04      1.28e-01    8.9e-06
   4700      1.42e-01      1.52e-02      3.75e-02    8.1e-06
   4800      2.50e-01      6.79e-03      8.48e-02    7.3e-06
   4900      5.36e-02      5.66e-03      1.05e-02    6.6e-06
   5000      2.40e-02      1.59e-03      7.77e-03    5.9e-06
   5100      7.02e-01      2.27e-02      2.74e-01    5.3e-06
   5200      1.47e-01      2.48e-03      6.04e-02    4.8e-06
   5300      2.18e-01      1.29e-02      8.87e-02    4.4e-06
   5400      1.03e-01      1.53e-03      4.62e-02    3.9e-06
